Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Bolo de brownie Dona Benta ®,1 fatia média,60,36,155,649,,,
Bolo de casamento,1 fatia pequena,75,42,285,1192,,,
Bolo de cenoura,1 fatia média,60,38,227,950,,,
Bolo de cenoura com chocolate Dr. Oetiker®,1 fatia média,60,38,227,950,,,
Bolo de cenoura com chocolate Dr. Otcker®,1 fatia média,60,38,227,950,,,
Bolo de cenoura Dona Benta ®,1 fatia média,60,28,121,506,,,
Bolo de cenoura Fleischmann ®,1 fatia média,60,30,133,556,,,
Bolo de chocolate (recheio/cobertura),1 fatia média,100,54,320,1339,,,
Bolo de chocolate com avelã Dona Benta ®,1 fatia média,60,29,152,636,,,
Bolo de chocolate Dona Benta ®,1 fatia média,60,30,145,607,,,
Bolo de Chocolate e Nozes,1 fatia pequena,50,17,175,732,,,
Bolo de chocolate sem glacê,1 fatia média,60,34,306,1280,,,
Bolo de coco,1 fatia grande,100,54,317,1326,,,
Bolo de coco Dona Benta ®,1 fatia média,60,30,143,598,,,
Bolo de festa (recheio/cobertura),1 fatia média,100,54,320,1339,,,
Bolo de festa diet (recheio/cobertura),1 fatia média,80,20,220,920,,,
Bolo de fubá,1 fatia média,50,20,160,669,,,
Bolo de fubá Dona Benta ®,1 fatia média,60,30,140,586,,,
Bolo de laranja Dona Benta ®,1 fatia média,60,30,143,598,,,
Bolo de limão,1 fatia média,60,37,233,975,,,
Bolo de mandioca (aipim),1 pedaço grande,100,48,324,1356,,,
Bolo de milho,1 fatia,100,54,290,1213,,,
Bolo de milho,1 fatia média,60,32,174,728,,,
Bolo de milho Dona Benta ®,1 fatia média,60,30,143,598,,,
Bolo de nozes,1 fatia média,50,28,200,837,,,
Bolo Floresta Branca com Cereja,1 fatia média,100,38,366,1531,,,
Bolo Floresta Branca com Cereja,1 fatia pequena,50,19,183,766,,,
Bolo Floresta Negra com Morango,1 fatia média,100,20,212,887,,,
Bolo Floresta Negra com Morango,1 fatia pequena,50,10,106,444,,,
Bolo Merengue,1 fatia peqquena,50,11,116,485,,,
Bolo Merengue,1 fatia pequena,50,11,116,485,,,
Bolo Mousse de Chocolate,1 fatia pequena,50,20,173,724,,,
Bolo mousse de chocolate (doceria),1 fatia pequena,60,23,185,774,,,
Bolo mousse de chocolate Amor aos Pedaços®,1 fatia pequena,60,23,185,774,,,
Bolo mousse de chocolate Dona Benta ®,1 fatia média,60,27,128,536,,,
Bolo petit gateau Dona Benta ®,1 fatia média,60,29,142,594,,,
Bolo simples,1 fatia média,60,33,263,1100,,,
Bolo simples (sem cobertura),1 fatia média,60,31,214,895,,,
Bolo simples diet (sem cobertura),1 fatia média,60,21,154,644,,,
Bomba de chocolate,1 unidade,48,9,163,682,,,
Bombom Alpino,1 unidade,13,8,70,293,,,
Bombom Alpino ®,1 unidade,13,8,70,293,,,
Bombom Alpino®,1 unidade,13,8,70,293,,,
Bombom Avelã zero açúcar Kopenhagen ®,1 unidade,20,9,112,469,,,
Bombom banana Caribe Garoto ®,1 unidade,17,12,65,272,,,
Bombom banana Caribe Garoto®,1 unidade,17,12,65,272,,,
Bombom bopinho de torrone,1 unidade,10,6,54,226,,,
Bombom bopinho de torrone ®,1 unidade,10,6,54,226,,,
Bombom charge Nestlé ®,1 unidade,40,23,195,816,,,
Bombom charge Nestlé®,1 unidade,40,24,187,782,,,
Bombom chokito Nestlé ®,1 unidade,32,24,140,586,,,
Bombom Chokito®,1 unidade,32,25,140,586,,,
Bombom Copinho de Torrone,1 unidade,10,6,54,226,,,
Bombom Copinho de Torrone ®,1 unidade,10,6,54,226,,,
Bombom Copinho de Torrone®,1 unidade,10,6,54,226,,,
Bombom de Brigadeiro,1 unidade,10,6,48,201,,,
Bombom de Brigadeiro Florybal ®,1 unidade,15,7,74,310,,,
Bombom diet Cacau Show ®,1 unidade,13,13,122,510,,,
Bombom diet Cacau Show®,1 unidade,13,7,56,234,,,
Bombom Ferrero Rocher ®,1 unidade,12,6,75,314,,,
Bombom Ferrero Rocher®,1 unidade,12,6,72,301,,,
Bombom Flocos,1 unidade,10,6,52,218,,,
Bombom It coco Garoto ®,1 unidade,17,11,80,335,,,
Bombom It coco Garoto®,1 unidade,17,11,80,335,,,
Bombom lajotinha Kopenhagen ®,1 e 1/4 unidades,25,12,141,590,,,
Bombom língua de gato zero açúcar Kopenhagen ®,1 e 1/4 unidades,25,11,139,582,,,
Bombom nhá benta kopenhagen ®,1 unidade,15,7,71,297,,,
Bombom Ouro Branco ®,1 unidade,20,12,104,435,,,
Bombom Ouro Branco®,1 unidade,22,13,117,490,,,
Bombom Prestígio,1 unidade,10,5,51,213,,,
Bombom prestígio Nestlé ®,1 unidade,32,22,152,636,,,
Bombom prestígio Nestle®,1 unidade,33,21,154,644,,,
Bombom Raffaello ®,1 unidade,10,4,62,259,,,
Bombom Raffaello®,1 unidade,10,4,62,259,,,
Bombom Sonho de Valsa ®,1 unidade,20,13,105,439,,,
Bombom Sonho de Valsa®,1 unidade,22,13,113,473,,,
Bombom Trufa de Cereja,1 unidade,10,6,45,188,,,
Bombom trufa de creme de cereja Cacau Show ®,1 unidade,25,12,123,515,,,
Bombom trufta de creme de cereja Cacau Show®,1 unidade,25,12,123,515,,,
Brezel (Pretzel),17 unidades pequenos,28,23,110,460,,,
Brigadeiro,1 unidade,10,6,36,151,,,
Brigadeiro,1 unidade média,30,16,103,431,,,
Brigadeiro,1 unidade pequena,15,9,60,251,,,
Brigadeiro de chocolate meio amargo,1 unidade média,30,20,99,414,,,
Brigadeiro de Flocos,1 unidade,15,9,60,251,,,
Brigadeiro de Morango,1 unidade,15,9,60,251,,,
Brigadeiro diet,1 unidade pequena,10,4,25,105,,,
Broa de Milho,1 unidade,50,25,128,536,,,
Brócolis com cottage (Baked Potato),1 concha,80,3,31,130,,,
Brócolis com cottage (Baked Potato®),1 concha,80,3,31,130,,,
Brócolis cozido (picado),1 colher de sopa cheia,10,0,4,17,,,
Buriti,3 unidades,9,1,15,63,,,
Cação em posta cozido,1 posta média,100,0,116,485,,,
Cacau em pó,1 colher de sopa,10,2,8,33,,,
Cacau em pó Mae Terra®,1 colher de sopa cheia,10,3,31,130,,,
Cacau em pó Mãe Terra®,1 colher de sopa,10,2,23,96,,,
Cachaça,1 dose,50,0,115,481,,,
Cachorro quente (média),1 unidade,125,31,330,1381,,,
Cachorro-quente (média),1 unidade,125,31,330,1381,,,
Café com leite 3 corações® (cápsula),1 cápsula,9,5,37,155,,,
Café com leite com açúcar,1 xícara de chá cheia,200,17,128,536,,,
Café com leite sem açúcar,1 xícara de chá cheia,200,7,88,368,,,
Café expresso 3 corações® (cápsula),1 cápsula,8,0,0,0,,,
Café infusão 10%,1 xicara de café,50,1,4,17,,,
Café infusão 10% com açúcar,1 xícara de café,50,5,19,79,,,
Café infusão 10% com açúcar,1 xícara de chá,200,20,76,318,,,
Café infusão 10% sem açúcar,1 xícara de café,50,0,4,17,,,
Café solúvel,1 colher de chá,1,0,0,0,,,
Café solúvel,1 colher de sopa,4,1,4,17,,,
Café solúvel pó,1 colher de sopa cheia,4,1,6,25,,,
Café tradicional filtrado 3 corações® (cápsula),1 cápsula,8,0,0,0,,,
Caipirinha com açúcar,1 copo,200,54,436,1824,,,
Caipirinha sem açúcar,1 copo,200,54,436,1824,,,
Cajá manga,1 unidade grande,75,9,38,159,,,
Cajá manga,1 unidade média,55,7,28,117,,,
Cajá manga,1 unidade pequena,40,5,20,84,,,
Cajá polpa congelada,1 porção,100,6,26,109,,,
Cajá polpa congelada,1 porção,100,12,46,192,,,
Cajá-umbu,1 unidade media,22,2,10,42,,,
Cajú,1 unidade grande,100,10,43,180,,,
Caju polpa congelada,1 porção,100,9,37,155,,,
Caju polpa congelada,1 porção,100,12,46,192,,,
"Caju, suco concentrado",1 copo,200,21,90,377,,,
"Caju, suco concentrado",1 copo duplo cheio,240,25,108,452,,,
Cajuzinho,1 unidade grande,40,20,169,707,,,
Cajuzinho,1 unidade média,25,13,106,444,,,
Cajuzinho,1 unidade pequena,12,6,50,209,,,
Calda de caramelo,1 colher de sopa,10,7,31,130,,,
Calda de chocolate,1 colher de sopa,10,5,31,130,,,
Calda de morango,1 colher de sopa,10,7,25,105,,,
Caldo de cana,1 copo,200,36,130,544,,,
Caldo de carne Knorr®,1 tablete,10,3,30,126,,,
Caldo de carne Knorr®,1 unidade,9,2,24,100,,,
Caldo de feijão,1 concha média,150,16,254,1063,,,
Caldo de galinha Knorr®,1 tablete,10,3,30,126,,,
Caldo de galinha Knorr®,1 unidade,9,1,24,100,,,
Caldo de mandioca,1 concha média,150,21,312,1305,,,
Caldo verde,1 concha média cheia,130,7,79,331,,,
Caldo-de-cana,1 copo duplo,240,49,201,841,,,
Camarão (Baked Potato®),1 concha,90,0,42,176,,,
Camarão à milanesa,1 colher de sopa,20,5,69,289,,,
Camarão cozido,1 colher de sopa,20,0,18,75,,,
Camarão cozido,1 unidade grande,30,0,27,113,,,
Camarão cru,1 unidade grande,30,0,14,59,,,
Camarão frito,1 colher de sopa,20,0,46,192,,,
Camarão grande cru,1 unidade,30,0,25,105,,,
Camembert (Baked Potato®),4 fatias,60,0,188,787,,,
Camu-camu,6 unidades,48,3,15,63,,,
Canapé de capaccio,1 torrada,3,2,20,84,,,
Canapé de carpaccio,1 torrada,3,2,20,84,,,
Canela em pau Kitano®,1 unidade,2,1,5,21,,,
Canela em pó,1 colher de chá,2,1,5,21,,,
Canelone de frango,1 unidade média,45,9,87,364,,,
Canelone de ricota,1 unidade média,30,7,74,310,,,
Canja de galinha,1 concha média cheia,130,12,110,460,,,
Canja de galinha,1 prato fundo,520,49,442,1849,,,
Canjica pronta,1 colher de sopa cheia,25,6,28,117,,,
Canjica pronta,1 colher de sopa cheia,25,5,29,121,,,
Canjica pronta,1 concha média,120,28,134,561,,,
Canjica pronta diet,1 colher de sopa,25,3,18,75,,,
Canjica pronta diet,1 concha,120,13,86,360,,,
Canjiquinha de frango,1 concha média,145,13,215,900,,,
Capelete de carne Frescarini®,1 escumadeira,50,26,141,590,,,
Capelete de frango Frescarini®,1 escumadeira,50,26,140,586,,,
Capeletti de carne,1 escumadeira,50,25,141,590,,,
Capeletti de carne Massa leve®,1 xícara de chá,100,44,223,933,,,
Capeletti de frango,1 escumadeira,50,25,140,586,,,
Capeletti de frango Massa leve®,1 xícara de chá,100,51,266,1113,,,
Capeletti de presunto,1 escumadeira,50,25,143,598,,,
Cappuccino Baunilha 3 corações® pó,2 colheres de sopa,20,14,85,356,,,
Cappuccino Chocolate 3 corações® pó,2 colheres de sopa,20,15,83,347,,,
Cappuccino classic 3 corações® po,2 colheres de sopa,20,14,84,351,,,
Cappuccino Classic 3 corações® pó,1 cápsula,11,7,44,184,,,
Cappuccino Classic 3 corações® pó,2 colheres de sopa,20,14,87,364,,,
Cappuccino classic diet 3 corações® pó,2 colheres de sopa,14,6,66,276,,,
Cappuccino Classic Pronto 3 corações®,1 unidade / garrafinha,260,39,267,1117,,,
Cappuccino Descafeinado 3 corações® pó,3 colheres de sopa,30,23,127,531,,,
Cappuccino Diet 3 corações® pó,2 colheres de sopa,14,6,65,272,,,
Cappuccino em pó,1 colher de sopa,10,7,42,176,,,
Cappuccino Light 3 corações® pó,1 sachê,14,9,52,218,,,
Cappuccino Light 3 corações® pó,2 colheres de sopa,14,9,52,218,,,
Caqui,1 unidade média,110,21,78,326,,,
Caqui,1 unidade média,110,22,95,397,,,
Caqui,1 unidade pequena,85,16,60,251,,,
Cará cozido,1 colher de sopa cheia,35,7,27,113,,,
Cará cozido,1 colher de sopa cheia picado,35,7,28,117,,,
Carambola,1 unidade grande,100,11,46,192,,,
Carambola,1 unidade média,75,9,35,146,,,
Caranguejo cozido,1 porção,100,0,83,347,,,
Carne assada,1 fatia média,90,0,259,1084,,,
Carne assada,1 pedaco medio,90,0,259,1084,,,
"Carne bovina, acém, moído, cozido",1 colher de sopa cheia,25,0,53,222,,,
"Carne bovina, acem, moído, cru",1 colher de sopa cheia,25,0,49,205,,,
"Carne bovina, costela assada",1 pedaço médio,40,0,149,623,,,
"Carne bovina, costela assada",1 pedaço médio,100,0,373,1561,,,
"Carne bovina, picanha, com gordura, grelhada",1 bife médio,100,0,289,1209,,,
"Carne bovina, picanha, com gordura, grelhada",1 pedaço médio,100,0,289,1209,,,
Carne com chilli (Baked Potato®),1 concha,65,28,98,410,,,
Carne de bezerro,1 porção,100,0,115,481,,,
Carne de boi cozida,1 colher de arroz / servir,70,0,150,628,,,
Carne de boi cozida,1 colher de sopa,30,0,65,272,,,
Carne de boi cozida,1 pedaço,35,0,75,314,,,
Carne de boi moída,1 colher de sopa cheia,25,0,49,205,,,
"Carne de boi, lagarto",1 porção,100,0,117,490,,,
"Carne de boi, lagarto cozido",1 fatia média,100,0,222,929,,,
"Carne de boi, lagarto cru",1 fatia média,100,0,135,565,,,
"Carne de boi, maminha",1 filé médio,100,0,199,833,,,
"Carne de boi, maminha, grelhado",1 filé médio,100,0,153,640,,,
"Carne de boi, paleta",1 porção,100,0,307,1284,,,
"Carne de boi, paleta cozida",1 filé médio,100,0,194,812,,,
"Carne de boi, paleta sem gordura, cozida",1 filé médio,100,0,194,812,,,
"Carne de boi, paleta sem gordura, crua",1 filé médio,100,0,141,590,,,
"Carne de boi, picanha (Friboi®)",1 porção,100,"1,9",323,1351,,,
"Carne de boi, picanha com gordura, grelhada",1 filé médio,100,0,289,1209,,,
"Carne de boi, picanha sem gordura, grelhada",1 filé médio,100,0,238,996,,,
Carne de cabrito magra,1 pedaço médio,100,0,179,749,,,
Carne de cordeiro magra,1 pedaço médio,100,0,162,678,,,
"Carne de porco, bisteca grelhada",1 filé médio,100,0,280,1172,,,
"Carne de porco, lombo assado",1 bife médio,100,0,210,879,,,
"Carne de porco, lombo assado",1 pedaço médio,100,0,210,879,,,
"Carne de porco, pernil assado",1 fatia média,90,0,236,987,,,
Carne de sol (carne seca),1 colher de sopa cheia,18,0,77,322,,,
"Carne de vaca, maminha",1 filé médio,100,0,153,640,,,
"Carne de vaca, maminha",1 porção,100,0,159,665,,,
Carne ensopada com legumes,1 colher de sopa cheia,35,3,57,238,,,
Carne ensopada com legumes,1 colher sopa cheia,35,3,57,238,,,
Carne vegetal (de soja),1 colher de sopa cheia,25,2,29,121,,,
Carne vegetal (proteína texturizada de soja),1 xícara,50,10,139,582,,,
Carpa assada,1 filé médio,100,0,110,460,,,
Carpaccio de carne,1 fatia média,15,0,43,180,,,
Carpaccio de Haddock,1 fatia média,15,0,17,71,,,
Carpaccio de salmão,1 fatia média,15,0,21,88,,,
Carré,1 unidade média,90,0,213,891,,,
Caruru (hortaliça crua picada),1 colher de sopa,20,1,7,29,,,
Caruru (hortaliça crua picada),1 colher de sopa cheia,25,2,9,38,,,
Caruru (prato baiano),1 colher de sopa,40,3,67,280,,,
Caruru (prato baiano),1 colher de sopa,30,1,64,268,,,
Casquinha de siri,1 unidade,55,1,92,385,,,
Casquinha de siri,1 unidade pequena,16,0,27,113,,,
Castanha de caju,1 unidade média,3,1,17,71,,,
Castanha de pequi,1 unidade média,14,3,12,50,,,
Castanha do pará,1 unidade média,6,1,42,176,,,
Castanha do Pará,2 unidades médias,8,1,51,213,,,
Castanha portuguesa,1 unidade,10,5,21,88,,,
Castanha portuguesa,1 unidade média,4,2,8,33,,,
Catchup,1 colher de sopa cheia,20,5,21,88,,,
Catchup,1 colher de sopa cheia,15,4,15,63,,,
Catchup,1 sachê,8,2,8,33,,,
Catupiry,1 colher de sopa,30,0,80,335,,,
Catupiry,1 fatia média,35,0,88,368,,,
CBO (Mc'Donalds®),1 unidade,240,56,643,2690,,,
CBO (Mc’Donalds®),1 unidade,,56,665,2782,,,
Cebola picada,1 colher de sopa,10,1,4,17,,,
Cebola picada,1 colher de sopa cheia,10,1,4,17,,,
Cebolinha crua (picada),1 colher de sopa cheia,8,0,2,8,,,
Cebolinha crua (picada),2 colheres de sopa,4,0,1,4,,,
Cenoura cozida,1 colher de sopa,25,2,8,33,,,
Cenoura cozida,1 colher de sopa cheia,25,2,8,33,,,
Cenoura crua ralada,1 colher de sopa,12,1,4,17,,,
Cenoura crua ralada,1 colher de sopa cheia,12,1,4,17,,,
Cenouritas (Mc’ Donalds®),1 porção,70,3,18,75,,,
Centeio (farinha integral),1/2 xícara,50,37,168,703,,,
"Centeio, farinha clara de",1 xícara,102,79,355,1485,,,
"Cereal barra Nestlé® banana, aveia e mel",1 unidade,20,11,63,264,,,
Cereal barra Nutry® coco com chocolate,1 unidade,22,16,90,377,,,
Cereal barra Trio® light morango com chocolate,1 unidade,20,14,74,310,,,
Cereal barra Trio® light morango com chocolate,1 unidade,20,15,78,326,,,
Cereal de arroz e milho Nestlé®,1 colher de sopa,7,6,27,113,,,
Cereal infantil 3 cereais Mucilon Nestlé®,1 colher de sopa,7,6,27,113,,,
Cereal infantil 3 cereais Nestlé®,1 colher de sopa,7,5,29,121,,,
Cereal infantil 3 frutas Nestlé®,1 colher de sopa,7,6,27,113,,,
"Cereal infantil banana, maçã e quinoa Mucilon Nestlé®",1 colher de sopa,7,5,25,105,,,
Cereal infantil de arroz / milho Mucilon Nestlé®,1 colher de sopa,7,6,26,109,,,
Cereal matinal All bran Fibre Plus Kellogg's®,1 xícara,40,134,19,79,,,
Cereal matinal All bran flakes Kellogg's®,1 xícara,30,20,107,448,,,
Cereal matinal all bran Kellogg’s®,3/4 de xícara,40,18,108,452,,,
Cereal matinal Choco Krispis Kellogg's®,1 xícara,30,25,116,485,,,
Cereal matinal chocokrispis Kellogg’s®,3/4 de xícara,30,25,110,460,,,
Cereal matinal Corn flakes Kellogg's®,1 xícara,30,24,108,452,,,
Cereal matinal corn flakes Kellogg’s®,1 xícara,30,24,108,452,,,
Cereal matinal Crunch Nestlé®,1 xícara,30,22,117,490,,,
Cereal matinal crunch Nestlé®,3/4 xícara,30,23,120,502,,,
Cereal matinal de milho,1 colher de sopa,4,3,15,63,,,
Cereal matinal de milho,1 xícara,30,25,110,460,,,
Cereal matinal de milho com açúcar,1 colher de sopa,4,3,15,63,,,
Cereal matinal de milho com açúcar,1 xícara,30,27,113,473,,,
Cereal matinal granola tradicional Kelloggs®,1 colher de sopa,10,6,29,121,,,
Cereal matinal granola tradicional Kelloggs®,1/2 xícara,40,24,158,661,,,
Cereal matinal Kellness® granola tradicional,1/2 xícara,40,27,147,615,,,
Cereal matinal Nesfit® frutas sem açúcar,1 xícara,30,21,102,427,,,
Cereal matinal Nesfit® mel e amêndoas sem açúcar,1 xícara,30,22,108,452,,,
Cereal matinal Nesfit® sem açúcar,1 xícara,30,21,100,418,,,
Cereja em calda,1 unidade,7,2,6,25,,,
Cereja em conserva,1 unidade,5,2,8,33,,,
Cereja fresca,1 unidade,7,1,5,21,,,
Cereja fresca,1 unidade,4,1,4,17,,,
Cerveja,1 lata,350,12,143,598,,,
Cerveja 0% Carboidrato Bruder®,1 lata,350,0,112,469,,,
Cerveja 0% de álcool,1 lata,350,20,84,351,,,
Cerveja tipo Malzbier,1 lata,350,49,210,879,,,
"Cevada, infusão",1 xícara de chá,200,6,30,126,,,
"Cevada, infuso de",1 xícara de chá cheia,200,5,24,100,,,
"Cevada, pó",1 colher de sopa,10,6,30,126,,,
Chá com açúcar (média),1 xícara de chá,200,16,64,268,,,
Chá mate (infusão sem açúcar),1 xícara de chá,200,1,6,25,,,
Chá mate (infusão sem açúcar),1 xícara de chá cheia,200,1,6,25,,,
Chá sem açúcar (média),1 xícara de chá,200,1,4,17,,,
Chá sem açúcar (média),1 xícara de chá cheia,200,1,4,17,,,
Chambinho,1 unidade,45,4,40,167,,,
Chambinho,1 unidade pequena,40,6,46,192,,,
Champagne (Chandon®),1 taça,150,0,127,531,,,
Champagne (Espumante tipo sidra),1 taça,150,4,123,515,,,
Champanhe,1 taça,100,3,82,343,,,
Champanhe tipo sidra,1 taça,100,3,82,343,,,
Champignon (Backed Potato®),1 concha,60,1,6,25,,,
Champignon (conserva),1 colher de sopa,27,1,6,25,,,
Champignon (conserva),1 colher de sopa,10,0,2,8,,,
Chandelle chocolate,1 unidade,75,18,151,632,,,
Chandelle® chocolate,1 unidade,90,20,132,552,,,
Chantilly,1 colher de sopa,20,3,63,264,,,
Chantilly,1 colher de sopa,20,4,60,251,,,
Charutinho de folha de uva,1 porção,100,3,99,414,,,
Charutinho de repolho,1 porção,100,2,67,280,,,
Charuto folha de uva Habib’s®,1 porção,245,19,263,1100,,,
Charuto folha de uva Habibs,1 porção,245,19,263,1100,,,
Charuto repolho Habib’s®,1 porção,285,23,295,1234,,,
Charuto repolho Habibs,1 porção,285,23,295,1234,,,
Cheddar McMelt (Mc’ Donalds®),1 unidade,,29,481,2013,,,
Cheddar McMelt (Mcdonald's),1 unidade,0,31,474,1983,,,
Cheeseburger,1 unidade,140,40,358,1498,,,
Cheeseburger (Bob's),1 unidade,0,25,264,1105,,,
Cheeseburger (Burger King),1 unidade,0,31,340,1423,,,
Cheeseburger (Mcdonald's),1 unidade,0,30,302,1264,,,
Cheeseburguer (Bob’s®),1 unidade,120,30,329,1377,,,
Cheeseburguer (Burguer King®),1 unidade,116,32,280,1172,,,
Cheeseburguer (Mc’ Donalds®),1 unidade,,30,295,1234,,,
Cheeseburguer com bacon (Burguer King®),1 unidade,119,32,310,1297,,,
Cheeseburguer duplo com bacon (Burguer King®),1 unidade,160,32,440,1841,,,
Cheesecake com Mirtilo (sorvete),1 bola,60,18,140,586,,,
Cheesecake com Mirtilo® (sorvete),1 bola,60,18,140,586,,,
Cheetos Elma Chips®,2 xícaras,25,16,119,498,,,
Cheetos sabor natural,1 e 1/2 xícara,25,17,121,506,,,
Chester,1 colher de sopa cheia desfiado,20,0,34,142,,,
Chester,1 fatia,15,0,31,130,,,
Chester,1 fatia média,32,0,53,222,,,
Chicken bacon crispy McWrap (Mc’ Donalds®),1 unidade,249,54,565,2364,,,
Chicken bacon grilled McWrap (Mc’ Donalds®),1 unidade,235,32,440,1841,,,
Chicken bacon Sandwich (Mcdonald's®),1 unidade,0,38,430,1799,,,
Chicken classic crispy Sandwich (Mc’ Donalds®),1 unidade,,55,510,2134,,,
Chicken classic crispy Sandwich (Mcdonald's®),1 unidade,0,47,582,2435,,,
Chicken classic Sandwich (Mcdonald's®),1 unidade,0,38,395,1653,,,
Chicken deluxe crispy Sandwich (Mcdonald's®),1 unidade,0,59,497,2079,,,
Chicken Junior Sandwich (Mc’ Donalds®),1 unidade,,38,380,1590,,,
Chicken Junior Sandwich (Mcdonald's®),1 unidade,0,40,454,1900,,,
Chiclete,1 unidade,5,4,16,67,,,
Chiclete (média),1 unidade,5,4,16,67,,,
Chiclete Adams®,1 unidade,2,1,5,21,,,
Chiclete Bubbaloo®,1 unidade,5,4,16,67,,,
Chiclete Mentos® sem açúcar,1 unidade,2,1,3,13,,,
Chiclete sabor sortido Bubbaloo®,1 unidade,5,4,16,67,,,
Chiclete Trident®,1 unidade,2,1,3,13,,,
Chiclete Trident® tuti-frutti,1 unidade,2,1,3,13,,,
Chicória crua,2 folhas grandes,34,1,5,21,,,
Chicória refogada,1 colher de sopa,45,3,39,163,,,
Chicória refogada,1 colher de sopa cheia,45,3,39,163,,,
Chimarrão,1 cuia média,200,3,13,54,,,
Chimarrão,1 cuia média,200,0,12,50,,,
Chocolate 70% cacao Lindt®,1/4 barra,25,8,141,590,,,
Chocolate Alpino diet Nestlé®,1 barra pequena,30,17,143,598,,,
Chocolate alpino diet Nestlé®,1 unidade,30,17,143,598,,,
Chocolate Alpino Nestlé®,1 bombom,13,7,71,297,,,
Chocolate Alpino Nestlé®,6 quadradinhos,25,14,137,573,,,
Chocolate ao leite,1 barra pequena,30,18,160,669,,,
Chocolate ao leite (média),1 barra pequena,25,15,135,565,,,
Chocolate ao leite Classic diet Nestlé®,1 barra pequena,25,14,165,690,,,
Chocolate ao leite Classic Nestlé®,6 quadradinhos,25,13,136,569,,,
Chocolate ao leite diet,1 barra pequena,30,13,157,657,,,
Chocolate ao leite diet Gold®,1 unidade,25,14,122,510,,,
Chocolate ao leite diet Linea®,1 tablete,30,13,143,598,,,
Chocolate ao leite diet Línea®,1 tablete,30,13,143,598,,,
Chocolate ao leite Lacta®,4 quadrados,25,14,133,556,,,
Chocolate Batom Nestlé®,1 unidade,16,8,87,364,,,
Chocolate Batom®,1 unidade,16,10,86,360,,,
Chocolate Bis Lacta®,1 unidade,6,4,31,130,,,
Chocolate Bis®,1 unidade,7,5,37,155,,,
Chocolate caramelo Twix®,1 unidade,15,10,75,314,,,
Chocolate caramelo Twix®,1 unidade,16,9,77,322,,,
Chocolate Classic Zero açúcar,1 unidade,22,8,94,393,,,
Chocolate Diamante Negro®,1 barra pequena,30,19,156,653,,,
Chocolate Diamante Negro®,4 quadradinhos,25,17,124,519,,,
Chocolate diet Talento®,1 barra peq / 4 quad.,25,12,129,540,,,
Chocolate em pó,1 colher de sopa,15,7,79,331,,,
Chocolate em pó,1 colher de sopa,15,9,52,218,,,
Chocolate Ferrero Rocher®,1 unidade,13,6,71,297,,,
Chocolate Ferrero Rocher®,2 unidades,25,11,149,623,,,
Chocolate Galak Nestlé®,6 quadradinhos,25,14,138,577,,,
Chocolate Galak®,1 barra pequena,30,15,169,707,,,
Chocolate Lindt Excellence 50% cacau,1/4 unidade,50,12,138,577,,,
Chocolate meio amargo,1 barra pequena,30,17,154,644,,,
Chocolate meio amargo (média),1 barra pequena,25,16,119,498,,,
Chocolate quente com leite (Mc Donalds®),1 copo pequeno,200,15,115,481,,,
Chocolate quente com leite (Mc’ Donalds®),1 copo grande,250,24,178,745,,,
Chocolate quente com leite (Mcdonald's®),1 copo grande,300,22,173,724,,,
Chocolate quente com leite (Mcdonald's®),1 copo pequeno,200,15,115,481,,,
Chocolate Suflair ®,1 unidade,30,15,132,552,,,
Chocolate Suflair®,1 unidade,30,15,132,552,,,
Chocolate Suflair®,5 quadradinhos,25,13,138,577,,,
Chocolate Talento diet®,1 barra pequena,25,12,129,540,,,
Chocolate Talento®,1 barra peq / 4 quad.,25,13,136,569,,,
Chocolate Talento®,1/4 barra,25,13,137,573,,,
Chocolate Talento® diet,1 barra pequena,25,12,129,540,,,
Chocotone Bauducco®,1 fatia média,40,18,144,602,,,
Chocotone Bauducco®,1 fatia pequena,100,49,396,1657,,,
Chopp claro,1 tulipa,290,11,130,544,,,
Chopp escuro,1 tulipa,290,12,142,594,,,
Chopp escuro,1 tulipa,290,11,148,619,,,
Chouriço,1 gomo,60,1,227,950,,,
Chuchu à milanesa,1 fatia média,70,10,127,531,,,
Chuchu ao molho branco,1 colher de sopa cheia,30,3,28,117,,,
Chuchu cozido (picado),1 colher de sopa,20,1,4,17,,,
Chucrute,1 colher de sopa,15,0,2,8,,,
Chucrute,1 xícara,120,5,24,100,,,
Chucrute com salsicha,1 porção,75,3,145,607,,,
Churrasquinho de panela,1 colher de sopa,25,0,46,192,,,
Churros com doce de leite,1 unidade aperitivo,30,13,97,406,,,
Churros com doce de leite,1 unidade grande,88,38,283,1184,,,
Cidra,1 porção,100,10,40,167,,,
Ciriguela,1 unidade,10,2,8,33,,,
Ciriguela,1 unidade,20,4,15,63,,,
Coalhada desnatada Itambé®,1 pote,130,5,40,167,,,
Coalhada integral Itambé®,1 pote,130,17,123,515,,,
Coalhada seca natural Alibey,1 colher de sopa,15,1,19,79,,,
Coalhada seca natural Alibey ®,1 colher de sopa,15,1,19,79,,,
Coalhada seca natural Alibey®,1 colher de sopa,15,1,19,79,,,
Cobertura de chocolate ao leite Garoto®,1 colher de sopa cheia,25,14,140,586,,,
Cobertura de chocolate ao leite Garoto®,4 quadradinhos,25,14,140,586,,,
Coca-Cola Zero®,1 copo,200,0,0,0,,,
